date;plant_code;material;material_note;safety_time_workdays_actual;actual_demand;delivery_time;minimum_order_quantity;stock_correction;scrap;safety_stock_units;supplier_plant_distance;reliability_random;reliability_calc;inventory_on_hand;goods_receipt_qty;review_period_days;unit_cost;holding_cost_rate;ordering_cost;is_working_day;is_ordering_day;service_level_target;transportation_network
2026-01-01;SYN_A;MAT_SMOOTH;Synthetic smooth fixture;1;12;1;25;0;0;80;100;0.96;0.95;;0;7;12.5;0.12;75;1;1;0.95;Synthetic road
2026-01-02;SYN_A;MAT_SMOOTH;Synthetic smooth fixture;1;13;;25;0;0;80;100;0.96;0.95;;0;7;12.5;0.12;75;1;1;0.95;Synthetic road
2026-01-03;SYN_A;MAT_SMOOTH;Synthetic smooth fixture;1;0;;25;0;0;80;100;0.96;0.95;;0;7;12.5;0.12;75;0;0;0.95;Synthetic road
2026-01-04;SYN_A;MAT_SMOOTH;Synthetic smooth fixture;1;0;;25;0;0;80;100;0.96;0.95;;0;7;12.5;0.12;75;0;0;0.95;Synthetic road
2026-01-05;SYN_A;MAT_SMOOTH;Synthetic smooth fixture;1;11;;25;0;0;80;100;0.96;0.95;;0;7;12.5;0.12;75;1;1;0.95;Synthetic road
2026-01-06;SYN_A;MAT_SMOOTH;Synthetic smooth fixture;1;12;;25;0;0;80;100;0.96;0.95;;0;7;12.5;0.12;75;1;1;0.95;Synthetic road
2026-01-07;SYN_A;MAT_SMOOTH;Synthetic smooth fixture;1;8;;25;0;0;80;100;0.96;0.95;;0;7;12.5;0.12;75;1;1;0.95;Synthetic road
2026-01-08;SYN_A;MAT_SMOOTH;Synthetic smooth fixture;1;12;;25;0;0;80;100;0.96;0.95;;0;7;12.5;0.12;75;1;1;0.95;Synthetic road
2026-01-09;SYN_A;MAT_SMOOTH;Synthetic smooth fixture;1;7;;25;0;0;80;100;0.96;0.95;;0;7;12.5;0.12;75;1;1;0.95;Synthetic road
2026-01-10;SYN_A;MAT_SMOOTH;Synthetic smooth fixture;1;0;;25;0;0;80;100;0.96;0.95;;0;7;12.5;0.12;75;0;0;0.95;Synthetic road
2026-01-11;SYN_A;MAT_SMOOTH;Synthetic smooth fixture;1;0;;25;0;0;80;100;0.96;0.95;;0;7;12.5;0.12;75;0;0;0.95;Synthetic road
2026-01-12;SYN_A;MAT_SMOOTH;Synthetic smooth fixture;1;9;;25;0;0;80;100;0.96;0.95;;0;7;12.5;0.12;75;1;1;0.95;Synthetic road
2026-01-13;SYN_A;MAT_SMOOTH;Synthetic smooth fixture;1;14;;25;0;0;80;100;0.96;0.95;;0;7;12.5;0.12;75;1;1;0.95;Synthetic road
2026-01-14;SYN_A;MAT_SMOOTH;Synthetic smooth fixture;1;9;;25;0;0;80;100;0.96;0.95;;0;7;12.5;0.12;75;1;1;0.95;Synthetic road
2026-01-15;SYN_A;MAT_SMOOTH;Synthetic smooth fixture;1;15;;25;0;0;80;100;0.96;0.95;;0;7;12.5;0.12;75;1;1;0.95;Synthetic road
2026-01-16;SYN_A;MAT_SMOOTH;Synthetic smooth fixture;1;7;;25;0;0;80;100;0.96;0.95;;0;7;12.5;0.12;75;1;1;0.95;Synthetic road
2026-01-17;SYN_A;MAT_SMOOTH;Synthetic smooth fixture;1;0;;25;0;0;80;100;0.96;0.95;;0;7;12.5;0.12;75;0;0;0.95;Synthetic road
2026-01-18;SYN_A;MAT_SMOOTH;Synthetic smooth fixture;1;0;;25;0;0;80;100;0.96;0.95;;0;7;12.5;0.12;75;0;0;0.95;Synthetic road
2026-01-19;SYN_A;MAT_SMOOTH;Synthetic smooth fixture;1;14;1;25;0;0;80;100;0.96;0.95;;0;7;12.5;0.12;75;1;1;0.95;Synthetic road
2026-01-20;SYN_A;MAT_SMOOTH;Synthetic smooth fixture;1;13;;25;0;0;80;100;0.96;0.95;;0;7;12.5;0.12;75;1;1;0.95;Synthetic road
2026-01-21;SYN_A;MAT_SMOOTH;Synthetic smooth fixture;1;8;;25;0;0;80;100;0.96;0.95;;0;7;12.5;0.12;75;1;1;0.95;Synthetic road
2026-01-22;SYN_A;MAT_SMOOTH;Synthetic smooth fixture;1;14;;25;0;0;80;100;0.96;0.95;;0;7;12.5;0.12;75;1;1;0.95;Synthetic road
2026-01-23;SYN_A;MAT_SMOOTH;Synthetic smooth fixture;1;13;;25;0;0;80;100;0.96;0.95;;0;7;12.5;0.12;75;1;1;0.95;Synthetic road
2026-01-24;SYN_A;MAT_SMOOTH;Synthetic smooth fixture;1;0;;25;0;0;80;100;0.96;0.95;;0;7;12.5;0.12;75;0;0;0.95;Synthetic road
2026-01-25;SYN_A;MAT_SMOOTH;Synthetic smooth fixture;1;0;;25;0;0;80;100;0.96;0.95;;0;7;12.5;0.12;75;0;0;0.95;Synthetic road
2026-01-26;SYN_A;MAT_SMOOTH;Synthetic smooth fixture;1;14;;25;0;0;80;100;0.96;0.95;;0;7;12.5;0.12;75;1;1;0.95;Synthetic road
2026-01-27;SYN_A;MAT_SMOOTH;Synthetic smooth fixture;1;10;;25;0;0;80;100;0.96;0.95;;0;7;12.5;0.12;75;1;1;0.95;Synthetic road
2026-01-28;SYN_A;MAT_SMOOTH;Synthetic smooth fixture;1;10;2;25;0;0;80;100;0.96;0.95;;0;7;12.5;0.12;75;1;1;0.95;Synthetic road
2026-01-29;SYN_A;MAT_SMOOTH;Synthetic smooth fixture;1;9;;25;0;0;80;100;0.96;0.95;;0;7;12.5;0.12;75;1;1;0.95;Synthetic road
2026-01-30;SYN_A;MAT_SMOOTH;Synthetic smooth fixture;1;7;;25;0;0;80;100;0.96;0.95;;0;7;12.5;0.12;75;1;1;0.95;Synthetic road
