strategy,n_items,selected_items,selected_pct,sap_choices,inventor_choices,universal_rq_choices,mean_fill_gain_vs_sap_pct_pts,mean_cost_delta_vs_sap,total_stockout_days_reduction_vs_sap,total_shortage_reduction_vs_sap,evidence_role
sap_only,98,0,0.0,98,0,0,0.0,0.0,0.0,0.0,status quo baseline
universal_rq_all,98,98,100.0,0,0,98,3.9773,4351.2854,0.0,0.0,standard OR heuristic benchmark
inventor_all,98,98,100.0,0,98,0,3.9073,4436.0373,126.0,895175.0,ungoverned optimize-all upper activity bound
deterministic_optimize_now,98,35,35.71,63,35,0,3.4449,3600.1347,130.0,744881.0,rule-based triage
deterministic_optimize_or_review,98,50,51.02,48,50,0,3.894,3544.208,124.0,798481.0,rule-based triage plus review queue
ml_stump_opportunity_score,98,15,15.31,83,15,0,3.7078,2377.3835,123.0,835316.0,simple traditional ML baseline
llm_explanation_only_no_decision_change,98,50,51.02,48,50,0,3.894,3544.208,124.0,798481.0,LLM wording without decision authority
llm_governance_direct_optimize_only,98,15,15.31,83,15,0,0.5475,549.4661,35.0,3663.0,LLM governance blocks non-direct routes
llm_governance_optimize_or_review,98,50,51.02,48,50,0,3.894,3544.208,124.0,798481.0,LLM reviewed buckets
governed_cost_aware_service_floor,98,19,19.39,79,18,1,3.1789,6.5042,99.0,52852.0,final governed InventOR policy
