holding_mult,ordering_mult,n_eligible,governed_selected,mean_fill_gain_vs_sap_pct_pts,mean_cost_delta_vs_sap,mean_sap_cost,cost_delta_pct_of_sap
0.5,0.5,98,21,3.1789,2.3806,2661.574,0.0894
0.5,0.75,98,21,2.9491,20.4243,3344.9159,0.6106
0.5,1.0,98,21,2.9065,32.6407,3920.765,0.8325
0.5,1.5,98,20,2.7041,48.4284,4557.0726,1.0627
0.5,2.0,98,21,2.691,59.6666,5001.1504,1.1931
0.75,0.5,98,21,3.1071,38.8317,3183.0106,1.22
0.75,0.75,98,21,3.1789,3.5708,3992.361,0.0894
0.75,1.0,98,22,3.0404,25.5408,4628.0886,0.5519
0.75,1.5,98,21,2.9065,48.961,5881.1475,0.8325
0.75,2.0,98,20,2.5567,56.3689,6574.7558,0.8574
1.0,0.5,98,20,2.7625,21.0299,3638.1994,0.578
1.0,0.75,98,20,3.1413,54.3324,4484.2329,1.2116
1.0,1.0,98,21,3.1789,4.7611,5323.1479,0.0894
1.0,1.5,98,21,2.9491,40.8486,6689.8318,0.6106
1.0,2.0,98,20,2.275,0.5939,7841.53,0.0076
1.5,0.5,98,20,2.5332,2.9987,4795.9219,0.0625
1.5,0.75,98,20,2.7625,31.5448,5457.299,0.578
1.5,1.0,98,20,3.0466,70.5926,6366.0213,1.1089
1.5,1.5,98,21,3.1789,7.1417,7984.7219,0.0894
1.5,2.0,98,18,1.3698,-130.9144,9256.1772,-1.4143
2.0,0.5,98,20,2.4958,-11.2313,5896.7222,-0.1905
2.0,0.75,98,21,2.5804,13.433,6627.6525,0.2027
2.0,1.0,98,20,2.7625,42.0597,7276.3987,0.578
2.0,1.5,98,19,2.664,54.8652,8968.4658,0.6118
2.0,2.0,98,18,1.6667,-171.913,10646.2959,-1.6148
