item_key,regime,sap_fill_pct,governed_choice,governed_fill_pct,fill_gain_vs_sap_pct_pts,cost_delta_vs_sap
SYNTH_A__SYN-00001-ER,erratic,99.2108,sap,99.2108,0.0,0.0
SYNTH_A__SYN-00002-SM,smooth,100.0,sap,100.0,0.0,0.0
SYNTH_A__SYN-00003-LU,lumpy,85.1988,sap,85.1988,0.0,0.0
SYNTH_A__SYN-00004-ER,erratic,95.1362,sap,95.1362,0.0,0.0
SYNTH_A__SYN-00005-LU,lumpy,83.0986,sap,83.0986,0.0,0.0
SYNTH_A__SYN-00006-LU,lumpy,74.874,sap,74.874,0.0,0.0
SYNTH_A__SYN-00007-ER,erratic,97.5642,sap,97.5642,0.0,0.0
SYNTH_A__SYN-00008-ER,erratic,94.7688,sap,94.7688,0.0,0.0
SYNTH_A__SYN-00009-LU,lumpy,91.0119,sap,91.0119,0.0,0.0
SYNTH_A__SYN-00010-SM,smooth,100.0,sap,100.0,0.0,0.0
SYNTH_A__SYN-00011-IN,intermittent,92.9752,inventor,100.0,7.0248,423.2653
SYNTH_A__SYN-00012-LU,lumpy,98.8423,sap,98.8423,0.0,0.0
SYNTH_A__SYN-00013-SM,smooth,99.186,sap,99.186,0.0,0.0
SYNTH_A__SYN-00014-SM,smooth,100.0,sap,100.0,0.0,0.0
SYNTH_A__SYN-00015-LU,lumpy,92.0216,sap,92.0216,0.0,0.0
SYNTH_A__SYN-00016-SM,smooth,99.9627,sap,99.9627,0.0,0.0
SYNTH_A__SYN-00017-SM,smooth,100.0,sap,100.0,0.0,0.0
SYNTH_A__SYN-00018-SM,smooth,100.0,sap,100.0,0.0,0.0
SYNTH_A__SYN-00019-SM,smooth,100.0,sap,100.0,0.0,0.0
SYNTH_A__SYN-00020-SM,smooth,100.0,sap,100.0,0.0,0.0
SYNTH_A__SYN-00021-ER,erratic,95.7516,sap,95.7516,0.0,0.0
SYNTH_A__SYN-00022-LU,lumpy,84.7034,sap,84.7034,0.0,0.0
SYNTH_A__SYN-00023-ER,erratic,94.6903,sap,94.6903,0.0,0.0
SYNTH_A__SYN-00024-LU,lumpy,93.401,sap,93.401,0.0,0.0
SYNTH_A__SYN-00025-SM,smooth,100.0,sap,100.0,0.0,0.0
SYNTH_A__SYN-00026-IN,intermittent,94.6939,sap,94.6939,0.0,0.0
