item_key,plant_code,material_id,regime,distribution_type,mean_daily_demand,cv_wd,mean_lead_time,cv_lead_time,delivery_observations,lead_time_stability,supplier_reliability,current_safety_stock_units,current_sap_slt_days,recommended_slt_days,slt_comparison_action,hard_escalation_flag,hard_reason_codes,selected_model,model_confidence,boundary_risk,escalation_flag,solver_used,policy_note,recommended_safety_stock,recommended_reorder_point,recommended_order_quantity,inventor_fill_rate_pct,sap_fill_rate_pct,universal_rq_fill_rate_pct,fill_gain_vs_sap_pct_pts,fill_gain_vs_universal_rq_pct_pts,inventor_total_cost,sap_total_cost,universal_rq_total_cost,cost_delta_vs_universal_rq,stockout_days_reduction_vs_sap,shortage_reduction_vs_sap,route_used,isolate_for_optimization,opportunity_score,optimization_reasons,flag_bucket,llm_review_priority,flag_reasons,llm_question
PLANT_B__MATERIAL_0135,PLANT_B,MATERIAL_0135,Lumpy,Negative Binomial,25699.0418,0.957,0.4546,1.2156,139,Unstable,0.16,0.0,6.0,2.5,DECREASE,YES,UNSTABLE_LT_SEVERE_VARIANCE,NB branch,HIGH,HIGH,YES,negbin,"NB branch: LTD_mean=11682.8, LTD_var=476642929.1, r_lt=0.29, p_lt=0.0000, ROP=79940, SS=42558, OQ=16137",42558.0,79940.0,16137.0,59.7643,39.823,57.5003,19.9413,2.264,75489.156,18309.859,71329.1959,4159.9601,16.0,374860.2156,negbin,YES,103.4738,service_gain_vs_sap|stockout_reduction_vs_sap|hard_flag|beats_universal_rq|cost_premium_vs_universal_rq,OPTIMIZE_NOW,HIGH,service_gain_vs_sap|beats_universal_rq|stockout_reduction_vs_sap|hard_flag|distributional_branch_case|cost_premium_vs_universal_rq,What operational constraint could still block implementation despite apparent service gain?
PLANT_B__MATERIAL_0217,PLANT_B,MATERIAL_0217,Lumpy,Negative Binomial,7.1901,2.9465,2.6107,0.4145,15,Moderate,0.56,0.0,4.0,4.0,MAINTAIN,YES,MILP_T3,NB branch,HIGH,HIGH,YES,negbin,"NB branch: LTD_mean=18.8, LTD_var=1232.3, r_lt=0.29, p_lt=0.0152, ROP=109, SS=69, OQ=264",69.0,109.0,264.0,98.1044,83.7836,98.2833,14.3208,-0.1789,517.3449,281.696,492.3005,25.0444,20.0,1201.2288,negbin,YES,73.2902,service_gain_vs_sap|stockout_reduction_vs_sap|hard_flag|cost_premium_vs_universal_rq,OPTIMIZE_NOW,HIGH,service_gain_vs_sap|stockout_reduction_vs_sap|hard_flag|distributional_branch_case|cost_premium_vs_universal_rq,What operational constraint could still block implementation despite apparent service gain?
PLANT_A__MATERIAL_0222,PLANT_A,MATERIAL_0222,Lumpy,Negative Binomial,84.1273,1.1475,1.3411,0.6434,36,Unstable,0.47,0.0,2.0,3.0,INCREASE,YES,UNSTABLE_LT_SLT_INCREASE,NB branch,HIGH,HIGH,YES,negbin,"NB branch: LTD_mean=112.8, LTD_var=17766.4, r_lt=0.72, p_lt=0.0064, ROP=465, SS=268, OQ=222",268.0,465.0,222.0,100.0,86.6541,99.5509,13.3459,0.4491,23916.4217,6519.5621,19397.5894,4518.8323,14.0,1040.1769,negbin,YES,67.3375,service_gain_vs_sap|stockout_reduction_vs_sap|hard_flag|cost_premium_vs_universal_rq,OPTIMIZE_NOW,HIGH,service_gain_vs_sap|beats_universal_rq|stockout_reduction_vs_sap|hard_flag|distributional_branch_case|cost_premium_vs_universal_rq,What operational constraint could still block implementation despite apparent service gain?
PLANT_B__MATERIAL_0210,PLANT_B,MATERIAL_0210,Smooth,Normal,63653.9017,0.4428,1.6009,0.8911,105,Unstable,0.52,0.0,5.0,4.0,DECREASE,NO,,"(r,Q)",HIGH,HIGH,YES,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=81162.4, SS_normal=133500 SS_spike=0 → SS=56360(capped), ROP=285571, OQ=28180",56360.0,285571.0,28180.0,81.9837,69.6889,81.9837,12.2948,0.0,222004.9953,64700.9007,222004.9953,0.0,14.0,296387.4688,"(r,Q)",YES,63.6431,service_gain_vs_sap|stockout_reduction_vs_sap,OPTIMIZE_NOW,HIGH,service_gain_vs_sap|stockout_reduction_vs_sap,What operational constraint could still block implementation despite apparent service gain?
PLANT_A__MATERIAL_0216,PLANT_A,MATERIAL_0216,Lumpy,Negative Binomial,13.2622,1.7378,2.6217,0.4041,24,Moderate,0.48,0.0,3.5,4.5,INCREASE,YES,MILP_T3,NB branch,HIGH,HIGH,YES,negbin,"NB branch: LTD_mean=34.8, LTD_var=1590.0, r_lt=0.78, p_lt=0.0219, ROP=155, SS=80, OQ=174",80.0,155.0,174.0,99.8422,88.8666,95.069,10.9756,4.7732,1798.0719,906.9762,1703.9013,94.1706,3.0,278.2305,negbin,YES,62.4559,service_gain_vs_sap|stockout_reduction_vs_sap|hard_flag|beats_universal_rq|cost_premium_vs_universal_rq,OPTIMIZE_NOW,HIGH,service_gain_vs_sap|beats_universal_rq|stockout_reduction_vs_sap|hard_flag|distributional_branch_case|cost_premium_vs_universal_rq,What operational constraint could still block implementation despite apparent service gain?
PLANT_A__MATERIAL_0154,PLANT_A,MATERIAL_0154,Lumpy,Negative Binomial,293.3925,1.0206,0.0,0.0,0,Stable,0.12,0.0,3.0,0.0,DECREASE,NO,,NB branch,HIGH,MEDIUM,NO,negbin,"NB branch fallback (no-overdispersion): SS=348, ROP=348, OQ=6392",348.0,348.0,6392.0,97.0606,90.2948,91.1395,6.7658,5.9211,714.0425,743.8545,743.8545,-29.812,1.0,801.0,negbin,YES,46.5845,service_gain_vs_sap|thin_delivery_data|beats_universal_rq,OPTIMIZE_NOW,HIGH,service_gain_vs_sap|beats_universal_rq|thin_delivery_data|distributional_branch_case,What operational constraint could still block implementation despite apparent service gain?
PLANT_B__MATERIAL_0230,PLANT_B,MATERIAL_0230,Smooth,Normal,310.8293,0.4352,0.9463,0.8452,213,Unstable,0.32,0.0,2.0,3.0,INCREASE,NO,,"(r,Q)",HIGH,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=262.8, SS_normal=432 SS_spike=0 → SS=432, ROP=1037, OQ=528",432.0,1037.0,528.0,100.0,94.3828,100.0,5.6172,0.0,19844.9476,4081.829,19844.9476,0.0,13.0,1804.8622,"(r,Q)",YES,34.2368,service_gain_vs_sap|stockout_reduction_vs_sap,OPTIMIZE_NOW,HIGH,service_gain_vs_sap|stockout_reduction_vs_sap,What operational constraint could still block implementation despite apparent service gain?
PLANT_A__MATERIAL_0083,PLANT_A,MATERIAL_0083,Lumpy,Negative Binomial,102.8514,1.5122,0.0,0.0,0,Stable,0.29,0.0,2.0,0.0,DECREASE,YES,MILP_T3,NB branch,HIGH,HIGH,YES,negbin,"NB branch fallback (no-overdispersion): SS=181, ROP=181, OQ=3855",181.0,181.0,3855.0,94.9853,88.9316,92.7942,6.0537,2.1911,510.3755,399.8052,496.1942,14.1813,1.0,268.0,negbin,YES,33.5379,service_gain_vs_sap|hard_flag|thin_delivery_data|beats_universal_rq|cost_premium_vs_universal_rq,OPTIMIZE_NOW,HIGH,service_gain_vs_sap|beats_universal_rq|hard_flag|thin_delivery_data|distributional_branch_case|cost_premium_vs_universal_rq,What operational constraint could still block implementation despite apparent service gain?
PLANT_A__MATERIAL_0082,PLANT_A,MATERIAL_0082,Lumpy,Negative Binomial,292.8794,1.006,0.0,0.0,0,Stable,0.49,0.0,5.0,0.0,DECREASE,NO,,NB branch,HIGH,HIGH,YES,negbin,"NB branch fallback (no-overdispersion): SS=343, ROP=343, OQ=5266",343.0,343.0,5266.0,95.1852,90.5541,91.4386,4.6311,3.7466,929.0843,931.7351,931.7351,-2.6508,1.0,555.0,negbin,YES,31.5197,service_gain_vs_sap|thin_delivery_data|beats_universal_rq,OPTIMIZE_NOW,HIGH,service_gain_vs_sap|beats_universal_rq|thin_delivery_data|distributional_branch_case,What operational constraint could still block implementation despite apparent service gain?
PLANT_A__MATERIAL_0040,PLANT_A,MATERIAL_0040,Dead stock,Normal,0.0,0.0,0.0,0.0,0,Stable,0.04,0.0,2.5,0.0,DECREASE,NO,,"(r,Q)",UNCERTAIN,HIGH,YES,,,0.0,0.0,12.0,70.3704,62.963,70.3704,7.4074,0.0,2047.6374,1792.4152,2047.6374,0.0,0.0,4.0,"(r,Q)",YES,30.6296,service_gain_vs_sap|thin_delivery_data,LLM_REVIEW,HIGH,service_gain_vs_sap|thin_delivery_data,Which counterfactual or hidden constraint should be reviewed before optimizing this material?
