item_key,plant_code,material_id,regime,distribution_type,mean_daily_demand,cv_wd,mean_lead_time,cv_lead_time,delivery_observations,lead_time_stability,supplier_reliability,current_safety_stock_units,current_sap_slt_days,recommended_slt_days,slt_comparison_action,hard_escalation_flag,hard_reason_codes,selected_model,model_confidence,boundary_risk,escalation_flag,solver_used,policy_note,recommended_safety_stock,recommended_reorder_point,recommended_order_quantity,inventor_fill_rate_pct,sap_fill_rate_pct,universal_rq_fill_rate_pct,fill_gain_vs_sap_pct_pts,fill_gain_vs_universal_rq_pct_pts,inventor_total_cost,sap_total_cost,universal_rq_total_cost,cost_delta_vs_universal_rq,stockout_days_reduction_vs_sap,shortage_reduction_vs_sap,route_used,isolate_for_optimization,opportunity_score,optimization_reasons
PLANT_B__MATERIAL_0135,PLANT_B,MATERIAL_0135,Lumpy,Negative Binomial,25699.0418,0.957,0.4546,1.2156,139,Unstable,0.16,0.0,6.0,2.5,DECREASE,YES,UNSTABLE_LT_SEVERE_VARIANCE,NB branch,HIGH,HIGH,YES,negbin,"collapsed_from_negbin->(r,Q) [nb_branch_ablation]: ",206446,374084,16091,82.103,71.1208,82.103,10.9822,0.0,76129.4436,53425.7808,76129.4436,0.0,7.0,206446.0,"(r,Q)",YES,76.8754,service_gain_vs_sap|stockout_reduction_vs_sap|hard_flag
PLANT_B__MATERIAL_0217,PLANT_B,MATERIAL_0217,Lumpy,Negative Binomial,7.1901,2.9465,2.6107,0.4145,15,Moderate,0.56,0.0,4.0,4.0,MAINTAIN,YES,MILP_T3,NB branch,HIGH,HIGH,YES,negbin,"collapsed_from_negbin->(r,Q) [nb_branch_ablation]: ",527,603,347,100.0,57.7432,100.0,42.2568,0.0,2195.0027,1125.1434,2195.0027,0.0,34.0,3610.0,"(r,Q)",YES,1436.7312,service_gain_vs_sap|stockout_reduction_vs_sap|hard_flag
PLANT_A__MATERIAL_0222,PLANT_A,MATERIAL_0222,Lumpy,Negative Binomial,84.1273,1.1475,1.3411,0.6434,36,Unstable,0.47,0.0,2.0,3.0,INCREASE,YES,UNSTABLE_LT_SLT_INCREASE,NB branch,HIGH,HIGH,YES,negbin,"collapsed_from_negbin->(r,Q) [nb_branch_ablation]: ",561,844,244,100.0,98.8517,100.0,1.1483,0.0,14059.2468,6305.7275,14059.2468,0.0,1.0,91.0,"(r,Q)",YES,1.1483,service_gain_vs_sap|hard_flag
PLANT_B__MATERIAL_0210,PLANT_B,MATERIAL_0210,Smooth,Normal,63653.9017,0.4428,1.6009,0.8911,105,Unstable,0.52,0.0,5.0,4.0,DECREASE,NO,,"(r,Q)",HIGH,HIGH,YES,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=81162.4, SS_normal=133500 SS_spike=0 → SS=56360(capped), ROP=285571, OQ=28180",279286,700582,29234,100.0,89.2926,100.0,10.7074,0.0,235216.1824,97355.1596,235216.1824,0.0,13.0,264359.0,"(r,Q)",YES,139.1962,service_gain_vs_sap|stockout_reduction_vs_sap
PLANT_A__MATERIAL_0216,PLANT_A,MATERIAL_0216,Lumpy,Negative Binomial,13.2622,1.7378,2.6217,0.4041,24,Moderate,0.48,0.0,3.5,4.5,INCREASE,YES,MILP_T3,NB branch,HIGH,HIGH,YES,negbin,"collapsed_from_negbin->(r,Q) [nb_branch_ablation]: ",217,308,200,100.0,87.6134,100.0,12.3866,0.0,1306.6616,771.9982,1306.6616,0.0,6.0,314.0,"(r,Q)",YES,74.3196,service_gain_vs_sap|stockout_reduction_vs_sap|hard_flag
PLANT_A__MATERIAL_0154,PLANT_A,MATERIAL_0154,Lumpy,Negative Binomial,293.3925,1.0206,0.0,0.0,0,Stable,0.12,0.0,3.0,0.0,DECREASE,NO,,NB branch,HIGH,MEDIUM,NO,negbin,"collapsed_from_negbin->(r,Q) [nb_branch_ablation]: ",2625,3839,7151,100.0,100.0,100.0,0.0,0.0,463.4765,318.6067,463.4765,0.0,0.0,0.0,"(r,Q)",YES,0.0,thin_delivery_data
PLANT_B__MATERIAL_0230,PLANT_B,MATERIAL_0230,Smooth,Normal,310.8293,0.4352,0.9463,0.8452,213,Unstable,0.32,0.0,2.0,3.0,INCREASE,NO,,"(r,Q)",HIGH,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=262.8, SS_normal=432 SS_spike=0 → SS=432, ROP=1037, OQ=528",826,1749,551,100.0,100.0,100.0,0.0,0.0,13445.4803,7736.69,13445.4803,0.0,0.0,0.0,"(r,Q)",NO,0.0,
PLANT_A__MATERIAL_0083,PLANT_A,MATERIAL_0083,Lumpy,Negative Binomial,102.8514,1.5122,0.0,0.0,0,Stable,0.29,0.0,2.0,0.0,DECREASE,YES,MILP_T3,NB branch,HIGH,HIGH,YES,negbin,"collapsed_from_negbin->(r,Q) [nb_branch_ablation]: ",1276,1618,4378,100.0,100.0,100.0,0.0,0.0,302.3644,231.917,302.3644,0.0,0.0,0.0,"(r,Q)",YES,0.0,hard_flag|thin_delivery_data
PLANT_A__MATERIAL_0082,PLANT_A,MATERIAL_0082,Lumpy,Negative Binomial,292.8794,1.006,0.0,0.0,0,Stable,0.49,0.0,5.0,0.0,DECREASE,NO,,NB branch,HIGH,HIGH,YES,negbin,"collapsed_from_negbin->(r,Q) [nb_branch_ablation]: ",3092,4916,5901,100.0,100.0,100.0,0.0,0.0,766.6783,515.6374,766.6783,0.0,0.0,0.0,"(r,Q)",YES,0.0,thin_delivery_data
PLANT_A__MATERIAL_0040,PLANT_A,MATERIAL_0040,Dead stock,Normal,0.0,0.0,0.0,0.0,0,Stable,0.04,0.0,2.5,0.0,DECREASE,NO,,"(r,Q)",UNCERTAIN,HIGH,YES,,,18,19,12,100.0,68.5185,100.0,31.4815,0.0,1496.5968,645.5384,1496.5968,0.0,2.0,17.0,"(r,Q)",YES,62.963,service_gain_vs_sap|stockout_reduction_vs_sap|thin_delivery_data
